,Job_titles
998,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
1000,Helpers--Electricians
1002,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
1004,"Helpers, Construction Trades, All Other"
1006,Construction and Building Inspectors
1008,Elevator Installers and Repairers
1010,Fence Erectors
1012,Hazardous Materials Removal Workers
1014,Highway Maintenance Workers
1016,Rail-Track Laying and Maintenance Equipment Operators
1018,Septic Tank Servicers and Sewer Pipe Cleaners
1020,Miscellaneous Construction and Related Workers
1022,Extraction Workers
1024,"Derrick Operators, Oil and Gas"
1026,"Service Unit Operators, Oil, Gas, and Mining"
1028,"Earth Drillers, Except Oil and Gas"
1030,"Explosives Workers, Ordnance Handling Experts, and Blasters"
1032,Continuous Mining Machine Operators
1034,"Mining Machine Operators, All Other"
1036,"Rock Splitters, Quarry"
1038,"Roof Bolters, Mining"
1040,"Roustabouts, Oil and Gas"
1042,Helpers--Extraction Workers
1044,"Extraction Workers, All Other"
1046,"Supervisors of Installation, Maintenance, and Repair Workers"
1048,"First-Line Supervisors of Mechanics, Installers, and Repairers"
1050,"Computer, Automated Teller, and Office Machine Repairers"
1052,Radio and Telecommunications Equipment Installers and Repairers
1054,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
1056,Avionics Technicians
1058,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
1060,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
1062,Electronic Home Entertainment Equipment Installers and Repairers
1064,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
1066,Aircraft Mechanics and Service Technicians
1068,Automotive Body and Related Repairers
1070,Automotive Service Technicians and Mechanics
1072,Bus and Truck Mechanics and Diesel Engine Specialists
1074,Farm Equipment Mechanics and Service Technicians
1076,Rail Car Repairers
1078,Motorboat Mechanics and Service Technicians
1080,Outdoor Power Equipment and Other Small Engine Mechanics
1082,Bicycle Repairers
1084,Tire Repairers and Changers
1086,Control and Valve Installers and Repairers
1088,"Control and Valve Installers and Repairers, Except Mechanical Door"
1090,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
1092,Home Appliance Repairers
1094,Industrial Machinery Mechanics
1096,Millwrights
1098,Line Installers and Repairers
1100,Telecommunications Line Installers and Repairers
1102,Camera and Photographic Equipment Repairers
1104,Musical Instrument Repairers and Tuners
1106,"Precision Instrument and Equipment Repairers, All Other"
1108,"Maintenance and Repair Workers, General"
1110,Wind Turbine Service Technicians
1112,"Coin, Vending, and Amusement Machine Servicers and Repairers"
1114,"Fabric Menders, Except Garment"
1116,Manufactured Building and Mobile Home Installers
1118,Signal and Track Switch Repairers
1120,"Installation, Maintenance, and Repair Workers, All Other"
1122,Supervisors of Production Workers
1124,First-Line Supervisors of Production and Operating Workers
1126,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
1128,"Electrical, Electronics, and Electromechanical Assemblers"
1130,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers"
1132,Engine and Other Machine Assemblers
1134,Structural Metal Fabricators and Fitters
1136,Fiberglass Laminators and Fabricators
1138,"Assemblers and Fabricators, All Other, Including Team Assemblers"
1140,Bakers
1142,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
1144,"Meat, Poultry, and Fish Cutters and Trimmers"
1146,Miscellaneous Food Processing Workers
1148,Food Batchmakers
1150,"Food Processing Workers, All Other"
1152,Computer Control Programmers and Operators
1154,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
1156,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
1158,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
1160,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
1162,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
1164,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
1166,Machinists
1168,Metal-Refining Furnace Operators and Tenders
1170,"Model Makers and Patternmakers, Metal and Plastic"
1172,"Patternmakers, Metal and Plastic"
1174,Foundry Mold and Coremakers
1176,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
1178,Tool and Die Makers
1180,"Welding, Soldering, and Brazing Workers"
1182,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
1184,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
1186,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
1188,"Metal Workers and Plastic Workers, All Other"
1190,Printing Workers
1192,Printing Press Operators
1194,"Textile, Apparel, and Furnishings Workers"
1196,Laundry and Dry-Cleaning Workers
1198,"Pressers, Textile, Garment, and Related Materials"
1200,Sewing Machine Operators
1202,Shoe and Leather Workers and Repairers
1204,"Tailors, Dressmakers, and Sewers"
1206,"Tailors, Dressmakers, and Custom Sewers"
1208,Textile Bleaching and Dyeing Machine Operators and Tenders
1210,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
1212,"Miscellaneous Textile, Apparel, and Furnishings Workers"
1214,Fabric and Apparel Patternmakers
1216,"Textile, Apparel, and Furnishings Workers, All Other"
1218,Cabinetmakers and Bench Carpenters
1220,Furniture Finishers
1222,"Model Makers and Patternmakers, Wood"
1224,"Patternmakers, Wood"
1226,"Sawing Machine Setters, Operators, and Tenders, Wood"
1228,Miscellaneous Woodworkers
1230,Plant and System Operators
1232,Nuclear Power Reactor Operators
1234,Power Plant Operators
1236,Stationary Engineers and Boiler Operators
1238,Water and Wastewater Treatment Plant and System Operators
1240,Chemical Plant and System Operators
1242,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
1244,Other Production Occupations
1246,Chemical Equipment Operators and Tenders
1248,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
1250,"Grinding and Polishing Workers, Hand"
1252,Cutting Workers
1254,"Cutting and Slicing Machine Setters, Operators, and Tenders"
1256,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
1258,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
1260,"Inspectors, Testers, Sorters, Samplers, and Weighers"
1262,Jewelers and Precious Stone and Metal Workers
1264,Dental Laboratory Technicians
1266,Ophthalmic Laboratory Technicians
1268,Packaging and Filling Machine Operators and Tenders
1270,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
1272,"Painting, Coating, and Decorating Workers"
1274,Semiconductor Processors
1276,Photographic Process Workers and Processing Machine Operators
1278,Adhesive Bonding Machine Operators and Tenders
1280,Cooling and Freezing Equipment Operators and Tenders
1282,"Molders, Shapers, and Casters, Except Metal and Plastic"
1284,Tire Builders
1286,"Production Workers, All Other"
1288,Supervisors of Transportation and Material Moving Workers
1290,Aircraft Cargo Handling Supervisors
1292,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors"
1294,Aircraft Pilots and Flight Engineers
1296,Commercial Pilots
1298,Air Traffic Controllers
1300,Flight Attendants
1302,Motor Vehicle Operators
1304,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
1306,"Bus Drivers, Transit and Intercity"
1308,Driver/Sales Workers and Truck Drivers
1310,Heavy and Tractor-Trailer Truck Drivers
1312,Taxi Drivers and Chauffeurs
1314,Miscellaneous Motor Vehicle Operators
1316,Rail Transportation Workers
1318,Locomotive Engineers
1320,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
1322,"Railroad Brake, Signal, and Switch Operators"
1324,Railroad Conductors and Yardmasters
1326,Subway and Streetcar Operators
1328,"Rail Transportation Workers, All Other"
1330,Sailors and Marine Oilers
1332,Ship and Boat Captains and Operators
1334,Motorboat Operators
1336,Ship Engineers
1338,Bridge and Lock Tenders
1340,Parking Lot Attendants
1342,Automotive and Watercraft Service Attendants
1344,Traffic Technicians
1346,Transportation Inspectors
1348,"Transportation Attendants, Except Flight Attendants"
1350,Miscellaneous Transportation Workers
1352,Material Moving Workers
1354,Conveyor Operators and Tenders
1356,Crane and Tower Operators
1358,Dredge Operators
1360,"Loading Machine Operators, Underground Mining"
1362,Hoist and Winch Operators
1364,Industrial Truck and Tractor Operators
1366,Cleaners of Vehicles and Equipment
1368,Machine Feeders and Offbearers
1370,Pumping Station Operators
1372,"Pump Operators, Except Wellhead Pumpers"
1374,Refuse and Recyclable Material Collectors
1376,Mine Shuttle Car Operators
1378,"Tank Car, Truck, and Ship Loaders"
1380,Miscellaneous Material Moving Workers
